trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD1,05:00:00,05:00:00,GM_P1,1
WD2,05:06:00,05:06:00,GM_P2,1
WD3,05:12:00,05:12:00,GM_P1,1
WD4,05:18:00,05:18:00,GM_P2,1
WD5,05:24:00,05:24:00,GM_P1,1
WD6,05:30:00,05:30:00,GM_P2,1
WD7,05:36:00,05:36:00,GM_P1,1
WD8,05:42:00,05:42:00,GM_P2,1
WD9,05:48:00,05:48:00,GM_P1,1
WD10,05:54:00,05:54:00,GM_P2,1
WD11,06:00:00,06:00:00,GM_P1,1
WD12,06:06:00,06:06:00,GM_P2,1
WD13,06:12:00,06:12:00,GM_P1,1
WD14,06:18:00,06:18:00,GM_P2,1
WD15,06:24:00,06:24:00,GM_P1,1
WD16,06:30:00,06:30:00,GM_P2,1
WD17,06:36:00,06:36:00,GM_P1,1
WD18,06:42:00,06:42:00,GM_P2,1
WD19,06:48:00,06:48:00,GM_P1,1
WD20,06:54:00,06:54:00,GM_P2,1
WD21,07:00:00,07:00:00,GM_P1,1
WD22,07:06:00,07:06:00,GM_P2,1
WD23,07:12:00,07:12:00,GM_P1,1
WD24,07:18:00,07:18:00,GM_P2,1
WD25,07:24:00,07:24:00,GM_P1,1
WD26,07:30:00,07:30:00,GM_P2,1
WD27,07:36:00,07:36:00,GM_P1,1
WD28,07:42:00,07:42:00,GM_P2,1
WD29,07:48:00,07:48:00,GM_P1,1
WD30,07:54:00,07:54:00,GM_P2,1
WD31,08:00:00,08:00:00,GM_P1,1
WD32,08:06:00,08:06:00,GM_P2,1
WD33,08:12:00,08:12:00,GM_P1,1
WD34,08:18:00,08:18:00,GM_P2,1
WD35,08:24:00,08:24:00,GM_P1,1
WD36,08:30:00,08:30:00,GM_P2,1
WD37,08:36:00,08:36:00,GM_P1,1
WD38,08:42:00,08:42:00,GM_P2,1
WD39,08:48:00,08:48:00,GM_P1,1
WD40,08:54:00,08:54:00,GM_P2,1
WD41,09:00:00,09:00:00,GM_P1,1
WD42,09:06:00,09:06:00,GM_P2,1
WD43,09:12:00,09:12:00,GM_P1,1
WD44,09:18:00,09:18:00,GM_P2,1
WD45,09:24:00,09:24:00,GM_P1,1
WD46,09:30:00,09:30:00,GM_P2,1
WD47,09:36:00,09:36:00,GM_P1,1
WD48,09:42:00,09:42:00,GM_P2,1
WD49,09:48:00,09:48:00,GM_P1,1
WD50,09:54:00,09:54:00,GM_P2,1
WD51,10:00:00,10:00:00,GM_P1,1
WD52,10:06:00,10:06:00,GM_P2,1
WD53,10:12:00,10:12:00,GM_P1,1
WD54,10:18:00,10:18:00,GM_P2,1
WD55,10:24:00,10:24:00,GM_P1,1
WD56,10:30:00,10:30:00,GM_P2,1
WD57,10:36:00,10:36:00,GM_P1,1
WD58,10:42:00,10:42:00,GM_P2,1
WD59,10:48:00,10:48:00,GM_P1,1
WD60,10:54:00,10:54:00,GM_P2,1
WD61,11:00:00,11:00:00,GM_P1,1
WD62,11:06:00,11:06:00,GM_P2,1
WD63,11:12:00,11:12:00,GM_P1,1
WD64,11:18:00,11:18:00,GM_P2,1
WD65,11:24:00,11:24:00,GM_P1,1
WD66,11:30:00,11:30:00,GM_P2,1
WD67,11:36:00,11:36:00,GM_P1,1
WD68,11:42:00,11:42:00,GM_P2,1
WD69,11:48:00,11:48:00,GM_P1,1
WD70,11:54:00,11:54:00,GM_P2,1
WD71,12:00:00,12:00:00,GM_P1,1
WD72,12:06:00,12:06:00,GM_P2,1
WD73,12:12:00,12:12:00,GM_P1,1
WD74,12:18:00,12:18:00,GM_P2,1
WD75,12:24:00,12:24:00,GM_P1,1
WD76,12:30:00,12:30:00,GM_P2,1
WD77,12:36:00,12:36:00,GM_P1,1
WD78,12:42:00,12:42:00,GM_P2,1
WD79,12:48:00,12:48:00,GM_P1,1
WD80,12:54:00,12:54:00,GM_P2,1
WD81,13:00:00,13:00:00,GM_P1,1
WD82,13:06:00,13:06:00,GM_P2,1
WD83,13:12:00,13:12:00,GM_P1,1
WD84,13:18:00,13:18:00,GM_P2,1
WD85,13:24:00,13:24:00,GM_P1,1
WD86,13:30:00,13:30:00,GM_P2,1
WD87,13:36:00,13:36:00,GM_P1,1
WD88,13:42:00,13:42:00,GM_P2,1
WD89,13:48:00,13:48:00,GM_P1,1
WD90,13:54:00,13:54:00,GM_P2,1
WD91,14:00:00,14:00:00,GM_P1,1
