route_id,service_id,trip_id,trip_headsign,direction_id
R1,WD,WD1,Deux-Montagnes,0
R1,WD,WD2,Montreal,1
R1,WD,WD3,Deux-Montagnes,0
R1,WD,WD4,Montreal,1
R1,WD,WD5,Deux-Montagnes,0
R1,WD,WD6,Montreal,1
R1,WD,WD7,Deux-Montagnes,0
R1,WD,WD8,Montreal,1
R1,WD,WD9,Deux-Montagnes,0
R1,WD,WD10,Montreal,1
R1,WD,WD11,Deux-Montagnes,0
R1,WD,WD12,Montreal,1
R1,WD,WD13,Deux-Montagnes,0
R1,WD,WD14,Montreal,1
R1,WD,WD15,Deux-Montagnes,0
R1,WD,WD16,Montreal,1
R1,WD,WD17,Deux-Montagnes,0
R1,WD,WD18,Montreal,1
R1,WD,WD19,Deux-Montagnes,0
R1,WD,WD20,Montreal,1
R1,WD,WD21,Deux-Montagnes,0
R1,WD,WD22,Montreal,1
R1,WD,WD23,Deux-Montagnes,0
R1,WD,WD24,Montreal,1
R1,WD,WD25,Deux-Montagnes,0
R1,WD,WD26,Montreal,1
R1,WD,WD27,Deux-Montagnes,0
R1,WD,WD28,Montreal,1
R1,WD,WD29,Deux-Montagnes,0
R1,WD,WD30,Montreal,1
R1,WD,WD31,Deux-Montagnes,0
R1,WD,WD32,Montreal,1
R1,WD,WD33,Deux-Montagnes,0
R1,WD,WD34,Montreal,1
R1,WD,WD35,Deux-Montagnes,0
R1,WD,WD36,Montreal,1
R1,WD,WD37,Deux-Montagnes,0
R1,WD,WD38,Montreal,1
R1,WD,WD39,Deux-Montagnes,0
R1,WD,WD40,Montreal,1
R1,WD,WD41,Deux-Montagnes,0
R1,WD,WD42,Montreal,1
R1,WD,WD43,Deux-Montagnes,0
R1,WD,WD44,Montreal,1
R1,WD,WD45,Deux-Montagnes,0
R1,WD,WD46,Montreal,1
R1,WD,WD47,Deux-Montagnes,0
R1,WD,WD48,Montreal,1
R1,WD,WD49,Deux-Montagnes,0
R1,WD,WD50,Montreal,1
R1,WD,WD51,Deux-Montagnes,0
R1,WD,WD52,Montreal,1
R1,WD,WD53,Deux-Montagnes,0
R1,WD,WD54,Montreal,1
R1,WD,WD55,Deux-Montagnes,0
R1,WD,WD56,Montreal,1
R1,WD,WD57,Deux-Montagnes,0
R1,WD,WD58,Montreal,1
R1,WD,WD59,Deux-Montagnes,0
R1,WD,WD60,Montreal,1
R1,WD,WD61,Deux-Montagnes,0
R1,WD,WD62,Montreal,1
R1,WD,WD63,Deux-Montagnes,0
R1,WD,WD64,Montreal,1
R1,WD,WD65,Deux-Montagnes,0
R1,WD,WD66,Montreal,1
R1,WD,WD67,Deux-Montagnes,0
R1,WD,WD68,Montreal,1
R1,WD,WD69,Deux-Montagnes,0
R1,WD,WD70,Montreal,1
R1,WD,WD71,Deux-Montagnes,0
R1,WD,WD72,Montreal,1
R1,WD,WD73,Deux-Montagnes,0
R1,WD,WD74,Montreal,1
R1,WD,WD75,Deux-Montagnes,0
R1,WD,WD76,Montreal,1
R1,WD,WD77,Deux-Montagnes,0
R1,WD,WD78,Montreal,1
R1,WD,WD79,Deux-Montagnes,0
R1,WD,WD80,Montreal,1
R1,WD,WD81,Deux-Montagnes,0
R1,WD,WD82,Montreal,1
R1,WD,WD83,Deux-Montagnes,0
